Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"NBK","NATIONAL BANK OF KUWAIT S.A.K.","Equity","5.34","2.41","13,791,260.00","33,212,164.34","33,212,164.34","Financials","6889526","KW0EQ0100010","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"VNM","VIET NAM DAIRY PRODUCTS","Equity","5.26","7.38","4,433,990.00","32,703,060.85","32,703,060.85","Consumer Staples","B16GLK5","VN000000VNM8","Hochiminh Stock Exchange","Vietnam","USD","VND","22,778.00"
"KFH","KUWAIT FINANCE HOUSE","Equity","3.75","1.66","14,088,854.00","23,349,374.31","23,349,374.31","Financials","6503138","KW0EQ0100085","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"VIC","VINGROUP JOINT STOCK COMPANY","Equity","3.44","4.57","4,688,940.00","21,429,390.38","21,429,390.38","Real Estate","B27Y417","VN000000VIC9","Hochiminh Stock Exchange","Vietnam","USD","VND","22,778.00"
"SCOM","SAFARICOM","Equity","3.41","0.29","74,034,967.00","21,236,538.51","21,236,538.51","Telecommunications","B2QN3J6","KE1000001402","Nairobi Stock Exchange","Kenya","USD","KES","101.10"
"GGAL","GRUPO FINANCIERO GALICIA ADR REPTG","Equity","3.28","43.49","468,800.00","20,388,112.00","20,388,112.00","Financials","2613570","US3999091008","NASDAQ","Argentina","USD","USD","1.00"
"IAM","ITISSALAT AL MAGHRIB STE SA","Equity","2.81","15.69","1,113,274.00","17,468,561.33","17,468,561.33","Telecommunications","B04SJM4","MA0000011488","Casablanca Stock Exchange","Morocco","USD","MAD","9.47"
"BMA","BANCO MACRO ADR REPRESENTING TEN S","Equity","2.70","80.15","209,714.00","16,808,577.10","16,808,577.10","Financials","B0Y62M9","US05961W1053","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"AUB","AHLI UNITED BANK B.S.C.","Equity","2.60","0.56","28,820,938.00","16,207,606.55","16,207,606.55","Financials","B17M2Q5","BH0005508765","Kuwait Stock Exchange","Bahrain","USD","KWD","0.30"
"YPF","YPF SOCIEDAD ANONIMA ADR EACH REPR","Equity","2.47","19.13","804,290.00","15,386,067.70","15,386,067.70","Energy","2985945","US9842451000","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"PAM","PAMPA ENERGIA ADR REPSG SA","Equity","2.41","52.41","286,210.00","15,000,266.10","15,000,266.10","Utilities","B41HK52","US6976602077","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"ZAIN","MOBILE TELECOMMUNICATIONS CO. (MTC","Equity","2.19","1.26","10,835,099.00","13,655,880.65","13,655,880.65","Telecommunications","6600084","KW0EQ0601058","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"ATW","ATTIJARIWAFA BANK SA","Equity","2.01","50.37","248,569.00","12,519,921.54","12,519,921.54","Financials","6088334","MA0000011926","Casablanca Stock Exchange","Morocco","USD","MAD","9.47"
"TLV","BANCA TRANSILVAN SA","Equity","1.86","0.61","19,080,834.00","11,573,806.79","11,573,806.79","Financials","5393307","ROTLVAACNOR1","Spot Regulated Market - Bvb","Romania","USD","RON","3.95"
"TEO","TELECOM ARGENTINA ADR REPRESENTING","Equity","1.81","22.58","499,051.00","11,268,571.58","11,268,571.58","Telecommunications","2878829","US8792732096","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"GTB","GUARANTY TRUST BANK PLC","Equity","1.72","0.12","90,005,629.00","10,715,551.94","10,715,551.94","Financials","6226059","NGGUARANTY06","Nigerian Stock Exchange","Nigeria","USD","NGN","359.50"
"MSN","MASAN GROUP CORP","Equity","1.70","3.71","2,846,250.00","10,558,790.28","10,558,790.28","Consumer Staples","B59R0P1","VN000000MSN4","Hochiminh Stock Exchange","Vietnam","USD","VND","22,778.00"
"SQURPHARMA","SQUARE PHARMACEUTICALS LTD","Equity","1.66","3.49","2,957,515.00","10,315,433.49","10,315,433.49","Health Care","6833802","BD0473SQPH00","Dhaka Stock Exchange Ltd","Bangladesh","USD","BDT","83.69"
"AGLTY","THE PUBLIC WAREHOUSING (AGILITY) C","Equity","1.51","2.46","3,814,853.00","9,388,854.22","9,388,854.22","Industrials","6890302","KW0EQ0601041","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"VRE","VINCOM RETAIL JOINT STOCK COMPANY","Equity","1.43","1.91","4,652,630.00","8,905,727.81","8,905,727.81","Real Estate","BZ0WW59","VN000000VRE6","Hochiminh Stock Exchange","Vietnam","USD","VND","22,778.00"
"NESTLE","NESTLE FOODS PLC","Equity","1.39","4.45","1,942,186.00","8,643,943.25","8,643,943.25","Consumer Staples","6627759","NGNESTLE0006","Nigerian Stock Exchange","Nigeria","USD","NGN","359.50"
"HPG","HOA PHAT GROUP JSC","Equity","1.37","2.30","3,714,172.00","8,544,324.03","8,544,324.03","Materials","B29CC15","VN000000HPG4","Hochiminh Stock Exchange","Vietnam","USD","VND","22,778.00"
"EBL","EQUITY BANK LTD.","Equity","1.27","0.49","16,235,900.00","7,909,179.77","7,909,179.77","Financials","B0WCDV5","KE0000000554","Nairobi Stock Exchange","Kenya","USD","KES","101.10"
"BKMB","BANK MUSCAT","Equity","1.25","0.99","7,854,405.00","7,753,406.68","7,753,406.68","Financials","B11WYH6","OM0000002796","Muscat Securities Market","Oman","USD","OMR","0.38"
"ZENITH","ZENITH BANK PLC","Equity","1.16","0.08","95,942,950.00","7,205,729.21","7,205,729.21","Financials","B01CKG0","NGZENITHBNK9","Nigerian Stock Exchange","Nigeria","USD","NGN","359.50"
"KCBK","KENYA COMER BANK","Equity","1.05","0.46","14,134,536.00","6,535,999.58","6,535,999.58","Financials","B1VG917","KE0000000315","Nairobi Stock Exchange","Kenya","USD","KES","101.10"
"GLOB","GLOBANT SA","Equity","1.04","50.71","128,028.00","6,492,299.88","6,492,299.88","Information Technology","BP40HF4","LU0974299876","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"JKH.N0000","JOHN KEELLS HOLDING PLC","Equity","1.04","1.00","6,450,070.00","6,452,928.89","6,452,928.89","Industrials","6475538","LK0092N00003","Colombo Stock Exchange","Sri Lanka","USD","LKR","157.93"
"SNG","SNGN ROMGAZ SA","Equity","1.03","8.91","715,916.00","6,382,312.86","6,382,312.86","Energy","BFTD6K6","ROSNGNACNOR3","Spot Regulated Market - Bvb","Romania","USD","RON","3.95"
"DANGCEM","DANGOTE CEMENT PLC","Equity","1.01","0.68","9,241,034.00","6,272,078.71","6,272,078.71","Materials","B4TFNR1","NGDANGCEM008","Nigerian Stock Exchange","Nigeria","USD","NGN","359.50"
"TGS","TRANSPORTADORA DE GAS DEL SUR ADR","Equity","0.99","17.51","353,098.00","6,182,745.98","6,182,745.98","Energy","2902944","US8938702045","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"SNP","PETROM SA","Equity","0.94","0.08","71,999,452.00","5,853,391.61","5,853,391.61","Energy","7180411","ROSNPPACNOR9","Spot Regulated Market - Bvb","Romania","USD","RON","3.95"
"EABL","EAST AFR BREWERS LTD","Equity","0.92","2.31","2,477,642.00","5,734,601.66","5,734,601.66","Consumer Staples","B04NN72","KE0000000216","Nairobi Stock Exchange","Kenya","USD","KES","101.10"
"BOUBYAN","BOUBYAN BANK K.S.C.","Equity","0.83","1.59","3,252,370.00","5,174,958.55","5,174,958.55","Financials","B15DYL9","KW0EQ0102065","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"BFR","BBVA BANCO FRANCES ADR REPTG SA","Equity","0.83","15.79","325,633.00","5,141,745.07","5,141,745.07","Financials","2072029","US07329M1009","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"ARBK","ARAB BANK PLC","Equity","0.82","10.05","509,166.00","5,115,335.47","5,115,335.47","Financials","B074509","JO1302311013","Amman Stock Exchange","Jordan","USD","JOD","0.71"
"GRP","GREEN BAY PROPERTIES LTD","Equity","0.80","0.10","48,338,230.00","4,960,748.40","4,960,748.40","Real Estate","BZ1NMB7","MU0461N00007","Johannesburg Stock Exchange","Mauritius","USD","ZAR","12.47"
"HSBK","JSC HALYK SAVINGS BK OF KAZAKHSTAN","Equity","0.79","12.55","392,564.00","4,926,678.20","4,926,678.20","Financials","B1KDG41","US46627J3023","London Stock Exchange","Kazakhstan","USD","USD","1.00"
"MABANEE","MABANEE CO. S.A.K.C.","Equity","0.78","2.11","2,307,164.00","4,876,869.98","4,876,869.98","Real Estate","B00PQY0","KW0EQ0400725","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"EDN","EDENOR ADR REPSTG SA CLASS B","Equity","0.78","48.40","100,443.00","4,861,441.20","4,861,441.20","Utilities","B1W9D79","US29244A1025","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"SUPV","GRUPO SUPERVIELLE ADR REPRESENTING","Equity","0.77","17.82","269,478.00","4,802,097.96","4,802,097.96","Financials","BYZJRN1","US40054A1088","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"BRD","BRD - GROUPE SG SA","Equity","0.71","3.27","1,350,432.00","4,412,002.89","4,412,002.89","Financials","B07GYB9","ROBRDBACNOR2","Spot Regulated Market - Bvb","Romania","USD","RON","3.95"
"GFH","GFH FINANCIAL GROUP","Equity","0.71","0.39","11,245,709.00","4,408,701.24","4,408,701.24","Financials","B15C739","BH000A0CAQK6","Dubai Financial Market","Bahrain","USD","AED","3.67"
"ARCO","ARCOS DORADOS HOLDINGS INC CLASS A","Equity","0.69","7.60","568,405.00","4,319,878.00","4,319,878.00","Consumer Discretionary","B529PQ0","VGG0457F1071","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"VCB","JOINT STOCK COMMERCIAL BANK FOR FO","Equity","0.67","2.34","1,775,975.00","4,155,740.96","4,155,740.96","Financials","B622TR5","VN000000VCB4","Hochiminh Stock Exchange","Vietnam","USD","VND","22,778.00"
"OTEL","OMAN TELEMMUNICATIONS","Equity","0.63","1.88","2,083,800.00","3,919,135.47","3,919,135.47","Telecommunications","B0MSYM1","OM0000003026","Muscat Securities Market","Oman","USD","OMR","0.38"
"BRACBANK","BRAC BANK LTD","Equity","0.60","0.95","3,954,235.00","3,760,988.24","3,760,988.24","Financials","B1QS725","BD0138BRACB9","Dhaka Stock Exchange Ltd","Bangladesh","USD","BDT","83.69"
"BCP","BANQUE CENTRALE POPULAIRE S.A.","Equity","0.60","30.62","121,402.00","3,717,578.11","3,717,578.11","Financials","B01J1K2","MA0000011884","Casablanca Stock Exchange","Morocco","USD","MAD","9.47"
"AGRO","ADECOAGRO SA","Equity","0.59","8.15","446,714.00","3,640,719.10","3,640,719.10","Consumer Staples","B65BNQ6","LU0584671464","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"GP","GRAMEENPHONE LTD","Equity","0.57","5.13","688,840.00","3,534,327.83","3,534,327.83","Telecommunications","B453FG2","BD0001GP0004","Dhaka Stock Exchange Ltd","Bangladesh","USD","BDT","83.69"
"HUMANSOFT","HUMAN SOFT HOLDING CO. K.S.C.C.","Equity","0.57","11.53","305,367.00","3,520,357.24","3,520,357.24","Consumer Discretionary","B13BYX7","KW0EQ0601694","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"NVL","NO VA LAND INVESTMENT GROUP CORP","Equity","0.53","2.22","1,498,139.00","3,328,028.51","3,328,028.51","Real Estate","BYZCMP7","VN000000NVL0","Hochiminh Stock Exchange","Vietnam","USD","VND","22,778.00"
"CSR","COMPAGNIE SUCRERIE MAROCAINE ET DE","Equity","0.53","28.51","115,418.00","3,290,588.47","3,290,588.47","Consumer Staples","BV8Q556","MA0000012247","Casablanca Stock Exchange","Morocco","USD","MAD","9.47"
"UBA","UNITED BANK FOR AFRICA PLC","Equity","0.53","0.03","106,027,356.00","3,288,470.15","3,288,470.15","Financials","6918389","NGUBA0000001","Nigerian Stock Exchange","Nigeria","USD","NGN","359.50"
"CMA","LES CIMENTS DU MAROC","Equity","0.52","184.79","17,456.00","3,225,663.39","3,225,663.39","Materials","6192989","MA0000010506","Casablanca Stock Exchange","Morocco","USD","MAD","9.47"
"FBNH","FBN HOLDINGS PLC","Equity","0.50","0.03","109,801,357.00","3,115,365.34","3,115,365.34","Financials","B8GQJS8","NGFBNH000009","Nigerian Stock Exchange","Nigeria","USD","NGN","359.50"
"TGN","SOCIETATEA NATIONALA DE TRANSPORT","Equity","0.48","97.38","30,809.00","3,000,179.94","3,000,179.94","Energy","B29NM96","ROTGNTACNOR8","Spot Regulated Market - Bvb","Romania","USD","RON","3.95"
"OLYMPIC","OLYMPIC INDUSTRIES LTD","Equity","0.47","2.88","1,025,039.00","2,953,003.98","2,953,003.98","Consumer Staples","6090124","BD0203OLIND3","Dhaka Stock Exchange Ltd","Bangladesh","USD","BDT","83.69"
"SSI","SAIGON SECURITIES INC INC","Equity","0.46","1.34","2,129,660.00","2,846,964.04","2,846,964.04","Financials","B1LB8G0","VN000000SSI1","Hochiminh Stock Exchange","Vietnam","USD","VND","22,778.00"
"BXPHARMA","BEXIMCO PHARMA LTD","Equity","0.45","1.20","2,344,651.00","2,815,598.35","2,815,598.35","Health Care","6090276","BD0453BXPH04","Dhaka Stock Exchange Ltd","Bangladesh","USD","BDT","83.69"
"CRESY","CRESUD ADR REPTG","Equity","0.44","17.20","160,556.00","2,761,563.20","2,761,563.20","Real Estate","2226893","US2264061068","NASDAQ","Argentina","USD","USD","1.00"
"EL","ELECTRICA SA SA","Equity","0.43","2.63","1,016,598.00","2,677,663.18","2,677,663.18","Utilities","BNK0077","ROELECACNOR5","Spot Regulated Market - Bvb","Romania","USD","RON","3.95"
"ZVTG","ZAVAROVALNICA TRIGLAV D.D.","Equity","0.42","40.21","65,193.00","2,621,626.97","2,621,626.97","Financials","B29ZFC6","SI0021111651","Ljubljana Stock Exchange (Official Market)","Slovenia","USD","EUR","0.85"
"ACCESS","ACCESS BANK OF NIGERIA","Equity","0.42","0.03","87,831,610.00","2,614,181.44","2,614,181.44","Financials","6222808","NGACCESS0005","Nigerian Stock Exchange","Nigeria","USD","NGN","359.50"
"EICO","AL-EQBAL COMPANY FOR INVESTMENT PL","Equity","0.42","47.63","54,852.00","2,612,368.04","2,612,368.04","Consumer Staples","6460385","JO4104811016","Amman Stock Exchange","Jordan","USD","JOD","0.71"
"MSA","SOCIETE DEXPLOITATION DES PORTS SA","Equity","0.42","19.53","133,471.00","2,607,323.42","2,607,323.42","Industrials","BD0R2Y9","MA0000012312","Casablanca Stock Exchange","Morocco","USD","MAD","9.47"
"BURG","BURGAN BANK S.A.K.","Equity","0.41","0.83","3,096,972.00","2,581,663.72","2,581,663.72","Financials","6155818","KW0EQ0100077","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"ROS","FAROS CONSTRUCTION CORPORATION","Equity","0.40","2.86","875,482.00","2,502,145.85","2,502,145.85","Industrials","BZ57C71","VN000000ROS1","Hochiminh Stock Exchange","Vietnam","USD","VND","22,778.00"
"ORDS","OOREDOO","Equity","0.39","1.31","1,854,422.00","2,437,556.91","2,437,556.91","Telecommunications","B59GZT7","OM0000003968","Muscat Securities Market","Oman","USD","OMR","0.38"
"CBK","CO-OPERATIVE BANK OF KENYA LTD.","Equity","0.37","0.18","12,905,160.00","2,329,566.47","2,329,566.47","Financials","B3FLD54","KE1000001568","Nairobi Stock Exchange","Kenya","USD","KES","101.10"
"PETG","PETROL DD","Equity","0.37","413.86","5,574.00","2,306,840.03","2,306,840.03","Consumer Discretionary","5272860","SI0031102153","Ljubljana Stock Exchange (Official Market)","Slovenia","USD","EUR","0.85"
"BKSB","BANK SOHAR","Equity","0.37","0.35","6,505,442.00","2,298,324.75","2,298,324.75","Financials","B1TRHD0","OM0000003398","Muscat Securities Market","Oman","USD","OMR","0.38"
"NIND","NATIONAL IND","Equity","0.36","0.49","4,601,184.00","2,267,867.73","2,267,867.73","Industrials","6890294","KW0EQ0500813","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"KWD","KWD CASH","Cash","0.36","330.80","667,820.00","2,209,131.29","2,209,131.29","Cash and/or Derivatives","-","-","-","Kuwait","USD","KWD","0.30"
"KES","KES CASH","Cash","0.35","0.99","217,805,355.00","2,154,355.64","2,154,355.64","Cash and/or Derivatives","-","-","-","Kenya","USD","KES","101.10"
"NGN","NGN CASH","Cash","0.34","0.28","768,047,947.00","2,136,433.79","2,136,433.79","Cash and/or Derivatives","-","-","-","Nigeria","USD","NGN","359.50"
"SAB","SAIGON BEER-ALCOHOL-BEVERAGE CORP","Equity","0.34","10.66","199,860.00","2,130,389.32","2,130,389.32","Consumer Staples","BDSFBV5","VN000000SAB4","Hochiminh Stock Exchange","Vietnam","USD","VND","22,778.00"
"IRS","IRSA INVERSIONES ADS REP SA","Equity","0.34","20.12","105,724.00","2,127,166.88","2,127,166.88","Real Estate","2473020","US4500472042","New York Stock Exchange Inc.","Argentina","USD","USD","1.00"
"RIVPRA","RIVIERA ADRIA","Equity","0.33","6.60","306,721.00","2,022,956.15","2,022,956.15","Consumer Discretionary","5053894","HRRIVPRA0000","Zagreb Stock Exchange","Croatia (Hrvatska)","USD","HRK","6.31"
"STB","SAIGON THUONG TIN COMMERCIAL JSB","Equity","0.30","0.53","3,487,869.00","1,845,149.77","1,845,149.77","Financials","B19HJ45","VN000000STB4","Hochiminh Stock Exchange","Vietnam","USD","VND","22,778.00"
"LHBL","LAFARGEHOLCIM BANGLADESH LTD","Equity","0.29","0.65","2,826,792.00","1,830,710.08","1,830,710.08","Materials","6728908","BD0643LSCL09","Dhaka Stock Exchange Ltd","Bangladesh","USD","BDT","83.69"
"ADH","DOUJA PROMOTION GROUPE ADDOHA","Equity","0.29","2.28","800,732.00","1,826,321.36","1,826,321.36","Real Estate","B18R0L0","MA0000011512","Casablanca Stock Exchange","Morocco","USD","MAD","9.47"
"LCWN","LAFARGE CEMENT WAPCO NIGERIA PLC","Equity","0.29","0.11","16,044,068.00","1,807,468.02","1,807,468.02","Materials","6933069","NGWAPCO00002","Nigerian Stock Exchange","Nigeria","USD","NGN","359.50"
"WARBABANK","WARBABANK","Equity","0.29","0.79","2,248,803.00","1,785,354.68","1,785,354.68","Financials","BDD2531","KW0EQB010944","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"MAD","MAD CASH","Cash","0.28","10.56","16,710,642.00","1,764,531.44","1,764,531.44","Cash and/or Derivatives","-","-","-","Morocco","USD","MAD","9.47"
"KPROJ","KUWAIT PROJECTS CO. (HOLDING) (K.S","Equity","0.28","0.81","2,139,817.00","1,727,143.06","1,727,143.06","Financials","6503183","KW0EQ0200653","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"KIB","KUWAIT INTERNATIONAL BANK KSC","Equity","0.26","0.72","2,271,607.00","1,645,656.41","1,645,656.41","Financials","6503213","KW0EQ0100069","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"JOPT","JOR PETROLM REF","Equity","0.26","3.55","447,624.00","1,589,421.56","1,589,421.56","Energy","6631750","JO4204111010","Amman Stock Exchange","Jordan","USD","JOD","0.71"
"CITYBANK","THE CITY BANK LTD","Equity","0.25","0.41","3,870,546.00","1,577,077.53","1,577,077.53","Financials","6187275","BD0102CTBNK5","Dhaka Stock Exchange Ltd","Bangladesh","USD","BDT","83.69"
"ALBH","ALUMINIUM BAHRAIN B.S.C.","Equity","0.24","1.60","947,215.00","1,517,651.15","1,517,651.15","Materials","B4MWYQ5","BH0006000044","Bahrain Bourse","Bahrain","USD","BHD","0.38"
"ALIMTIAZ","ALIMTIAZ INVESTMENT","Equity","0.24","0.42","3,579,815.00","1,515,766.85","1,515,766.85","Financials","B50N7B3","KW0EQ0202832","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"NBL","NATIONAL BANK LTD","Equity","0.23","0.13","11,137,980.00","1,450,639.05","1,450,639.05","Financials","6614892","BD0105NBL002","Dhaka Stock Exchange Ltd","Bangladesh","USD","BDT","83.69"
"MEZZAN","MEZZAN HOLDING CO","Equity","0.23","2.35","615,552.00","1,443,686.30","1,443,686.30","Consumer Staples","BZ0PGY5","KW0EQB010837","Kuwait Stock Exchange","Kuwait","USD","KWD","0.30"
"TMA","TOTAL MAROC SAINARY","Equity","0.23","179.40","7,916.00","1,420,153.95","1,420,153.95","Energy","BYL76C1","MA0000012262","Casablanca Stock Exchange","Morocco","USD","MAD","9.47"
"JOIB","JOR ISLAMIC BANK PLC","Equity","0.23","4.73","296,961.00","1,405,930.62","1,405,930.62","Financials","6466327","JO1100111011","Amman Stock Exchange","Jordan","USD","JOD","0.71"
"BEXIMCO","BEXIMCO LTD","Equity","0.22","0.31","4,420,668.00","1,383,934.78","1,383,934.78","Industrials","6097987","BD0613BXLTD6","Dhaka Stock Exchange Ltd","Bangladesh","USD","BDT","83.69"
"VND","VND CASH","Cash","0.22","0.00","30,548,931,372.00","1,341,159.51","1,341,159.51","Cash and/or Derivatives","-","-","-","Vietnam","USD","VND","22,778.00"
"TCH","HOANG HUY INVESTMENT FINANCIAL SER","Equity","0.22","1.21","1,108,530.00","1,338,334.14","1,338,334.14","Industrials","BYQ4467","VN000000TCH5","Hochiminh Stock Exchange","Vietnam","USD","VND","22,778.00"
"SUMITPOWER","SUMMIT POWER LTD","Equity","0.21","0.43","3,019,565.00","1,309,716.93","1,309,716.93","Utilities","B0QY9L9","BD0306SMTP03","Dhaka Stock Exchange Ltd","Bangladesh","USD","BDT","83.69"
"RON","RON CASH","Cash","0.20","25.33","4,937,104.00","1,250,390.28","1,250,390.28","Cash and/or Derivatives","-","-","-","Romania","USD","RON","3.95"
